"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jun. 2021","Bulgaria","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","194 660 010"
"Jul. 2021","Bulgaria","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","184 848 895"
"Jan. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","53 212"
"Feb. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Mar. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Apr. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"May. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","261"
"Jun. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jul. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Aug. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Sep. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Oct. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Nov. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Dec. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jan.-Dec. 2020","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","53 473"
"Jan. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Feb. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Mar. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Apr. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"May. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jun. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jul. 2021","Czechia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS",":"
"Jan. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","65 890 690"
"Feb. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","62 992 723"
"Mar. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","37 970 948"
