"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Jan.-Dec. 2020","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","101 086 264"
"Jan. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 886 605"
"Feb. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 563 740"
"Mar. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 304 856"
"Apr. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 539 529"
"May. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 967 693"
"Jun. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 168 959"
"Jul. 2021","Bulgaria","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 625 484"
"Jan. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","31 461 732"
"Feb. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","31 146 807"
"Mar. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","24 065 214"
"Apr. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","8 343 807"
"May. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","16 243 358"
"Jun. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","16 337 169"
"Jul. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","16 352 221"
"Aug. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","18 725 209"
"Sep. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","24 188 390"
"Oct. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","21 266 214"
"Nov. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","15 712 611"
"Dec. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","20 686 099"
"Jan.-Dec. 2020","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","244 528 831"
"Jan. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","27 063 918"
"Feb. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","23 660 510"
"Mar. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","27 150 916"
"Apr. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","23 550 255"
"May. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","29 266 749"
"Jun. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","33 484 768"
"Jul. 2021","Czechia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","30 355 382"
"Jan. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","13 958 889"
"Feb. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 711 472"
"Mar. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","10 416 636"
"Apr. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 079 973"
"May. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","8 061 818"
"Jun. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","8 788 188"
"Jul. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","10 014 509"
"Aug. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 273 378"
"Sep. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","12 699 424"
"Oct. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","14 518 350"
"Nov. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","15 287 764"
"Dec. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","22 123 020"
"Jan.-Dec. 2020","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","149 933 421"
"Jan. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","18 257 185"
"Feb. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 884 596"
"Mar. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","14 768 046"
"Apr. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","10 794 387"
"May. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","25 394 548"
"Jun. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","12 850 313"
"Jul. 2021","Denmark","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","12 352 658"
"Jan. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","610 931 601"
"Feb. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","552 321 672"
"Mar. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","442 976 955"
"Apr. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","226 561 752"
"May. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","228 399 483"
"Jun. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","282 359 322"
"Jul. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","379 777 548"
"Aug. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","413 331 425"
"Sep. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","477 726 180"
"Oct. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","371 636 951"
